document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
aae5c6f0c213946d265cb98c08106c0b,1,"L'obiettivo primario del Servizio è la diffusione e il rispetto delle norme che regolano la convivenza civile sul territorio comunale. In particolare il servizio svolto si propone alla cittadinanza per meglio far conoscere i servizi offerti e per un migliore orientamento nel territorio (informazione su dislocazione di servizi di pubblica utilità, parcheggi, toponomastica vie, ecc.).","Il Servizio fa conoscere le leggi e come rispettarle per migliorare la vita sul territorio comunale. In particolare il servizio intende far conoscere meglio ai cittadini i servizi offerti per aiutarli a orientarsi nel territorio (informazione su dove si trovano i servizi di pubblica utilità, i parcheggi, le vie, ecc.).",Molte perifrasi | molti nomi d'azione | primo capoverso oscuro ,Eliminate perifrasi | eliminate nominalizzazioni sostituite con verbi | costituite parole più rare con parole di uso molto comune,2024-03-11T18:41:21.341353,189.0
aae5c6f0c213946d265cb98c08106c0b,2,"I Servizi di Polizia Locale Reparto Operativo del Comune svolgono la propria attività a favore del rispetto delle regole di convivenza nella città di Rovigo, basandosi su alcuni principi fondamentali, enunciati di seguito al punto 9) ed attuati sempre con spirito di servizio. ",La Polizia Locale (reparto operativo) fa rispettare le regole di vita comune nella città di Rovigo. La Polizia agisce con spirito di servizio ai cittadini e segue i principi indicati nell'elenco al punto 9.,Frase lunga | inutili perifrasi,Abbreviare testo | evitare perifrasi | spezzare frase lunga,2024-03-11T18:43:43.900078,142.0
aae5c6f0c213946d265cb98c08106c0b,3,"L'operatore di Polizia Locale, quindi, rappresenta un importante punto di riferimento per la collettività. Nell'ambito delle sue funzioni, esso svolge i propri compiti in maniera autorevole, dando prova di preparazione professionale e sensibilità nel contatto relazionale. La sua attività, inoltre, è caratterizzata dal costante sforzo teso alla migliore interpretazione delle situazioni e delle problematiche incontrate, applicando un approccio educativo e orientato alla più adeguata risposta ai bisogni della cittadinanza. ","La Polizia Locale è un punto di riferimento per i cittadini. La Polizia Locale ha autorevolezza, professionalità e sensibilità nel contatto con i cittadini. La Polizia Locale cerca sempre di interpretare al meglio situazioni e problematiche incontrate. La Polizia Locale si comporta in modo da educare e rispondere adeguatamente ai bisogni dei cittadini. ",Spezzare frasi lunghe | evitare astratti e nomi d'azione | ripetere il soggetto,Nomi collettivi astratti sostituiti con nomi concreti | ripetere il soggetto,2024-03-11T18:46:43.829728,179.0
aae5c6f0c213946d265cb98c08106c0b,4,"Le modalità di azione e di intervento partono dall'ascolto dei bisogni del cittadino, al fine di individuare soluzioni adeguate e orientate al benessere comune, per una migliore fruizione dei servizi e delle possibilità d'uso della città.",La Polizia Locale agisce e interviene dopo aver ascoltato i bisogni del cittadino e cerca soluzioni adeguate e orientate al benessere comune. Essa aiuta i cittadini a utilizzare al meglio i servizi  offerti nella città.,Perifrasi | lunghezze | frasi subordinate implicite,Abbreviare | Indicare sempre il soggetto esplicitandolo | Evitare subordinate implicite | evitare locuzioni congiuntive,2024-03-11T18:49:11.635122,147.0
aae5c6f0c213946d265cb98c08106c0b,5,"Il Servizio di Polizia Locale Reparto Operativo agisce al fine di garantire l'ordinato svolgimento delle seguenti attività: controllo della mobilità e sicurezza stradale; tutela della vivibilità e della qualità urbana, nonché salvaguardia della sicurezza sociale.","La Polizia Locale (Reparto Operativo) si occupa delle seguenti attività: controlla la mobilità (strade, auto) e la sicurezza delle strade; tutela una buona qualità della vita in città e la sicurezza sociale.", ,Eliminato il concetto di Servizio rimandando tutto alla Polizia Locale soggetto esplicito | sostituire nomi d'azione con verbi | Uso di parole comuni,2024-03-11T18:52:35.124995,202.0
aae5c6f0c213946d265cb98c08106c0b,6,"attività di controllo esercitata sugli utenti della strada, volta a prevenire e reprimere i comportamenti che creano pericolo per la sicurezza e l'incolumità dei cittadini sulle strade, o che ledono il diritto alla mobilità; ","attività di controllo in strada per evitare o contrastare i comportamenti che mettono in pericolo i cittadini sulle strade, o che riducono il diritto dei cittadini di muoversi liberamente; ",,Evitare perifrasi ridondanti | sostituzione di verbi colti con verbi di uso comune | sostituzione di nomi astratti con verbi,2024-03-12T08:06:07.862939,182.0
aae5c6f0c213946d265cb98c08106c0b,7,azioni di regolamentazione e sostegno finalizzate ad un più fluido scorrimento della viabilità locale.,attività che servono a regolare il traffico in modo che le auto esso sia più scorrevole.,si tratta di paragrafi collegati a un paragrafo precedente che elenca i compiti della Polizia locale,"mantenere lo stesso termine, attività, in un elenco per far capire che si tratta di un elenco di cose messe sullo stesso piano | evitare nomi d'azione sostituiti da verbi | evitare nomi astratti come viabilità sostituito dal concetto di auto (parola comune colloquiale) e scorrevolezza",2024-03-12T08:09:01.968583,173.0
aae5c6f0c213946d265cb98c08106c0b,8,"Le priorità di intervento sono sviluppate attraverso azioni mirate a far rispettare il Codice della Strada (eccesso di velocità, transito con il semaforo rosso, rispetto dell'uso del casco, divieto di uso del telefono cellulare nei casi previsti, obbligo di cinture di sicurezza, ecc.), in accordo con le strategie dell'Amministrazione Comunale, e rifacendosi inoltre alle analisi dei fenomeni propri della mobilità locale ed ai dati relativi alle componenti di rischio per gli utenti della strada. Tali campagne vengono promosse e supportate da azioni di informazione continua: l'educazione stradale scolastica ne rappresenta un momento fondamentale, incidendo sulla formazione delle fasce giovanili della popolazione.","La Polizia Locale svolge le attività e stabilisce quelle che hanno precedenza su altre. In particolare fa rispettare le regole di base del Codice della Strada (non superare i limiti di velocità, non passare con il semaforo rosso, usare il casco, non usare il telefono cellulare mentre si guida, allacciare le cinture di sicurezza, ecc.) e per questo si collega: alle indicazioni del Comune, allo studio delle abitudini locali e ai dati conosciuti su quali sono i rischi maggiori per le persone in strada. La Polizia Locale fa campagne di informazione come: l'educazione stradale a scuola che serve a educare i giovani.",Frasi lunghe | molti nomi d'azione,Inserire il soggetto | sostituire nomi d'azione con verbi | sostituire parole colte con parole comuni | abbreviare perifrasi lunghe | inserire i due punti prima di un breve elenco,2024-03-12T08:15:54.342031,411.0
aae5c6f0c213946d265cb98c08106c0b,9,"Comprende le attività operative specifiche per la promozione di un sistema integrato di sicurezza in base alle direttive impartite dalla Prefettura. In tal senso la Polizia Locale opera d'iniziativa ed anche in collaborazione con altre forze di Polizia, con altri settori della Amministrazione Comunale e con le istituzioni locali preposte alle problematiche sociali che possono incidere sul territorio in termini di sicurezza e vivibilità. Le specifiche azioni intraprese sono finalizzate a monitorare e contrastare la microcriminalità e fenomeni di disagio urbano, quali ad esempio lo spaccio di sostanze stupefacenti, gli edifici occupati abusivamente, e così via. La Polizia Locale si impegna inoltre, con tutte le risorse presenti sul territorio e attraverso gli agenti di quartiere, a prevenire e controllare fenomeni di disturbo della quiete pubblica, nonché ad intervenire in situazioni di conflitto o che comportino problemi alla convivenza dei cittadini.","La Polizia Locale svolge anche altre attività per aumentare la sicurezza a livello locale secondo le indicazioni della Prefettura. La Polizia Locale svolge attività anche insieme a altre forze di Polizia, a altri uffici del Comune, a uffici di altre istituzioni locali che sul territorio si occupano di far vivere bene e sicuri i cittadini. La Polizia locale controlla e combatte i piccoli  criminali e reati come lo spaccio di sostanze stupefacenti, l'occupazione abusiva di palazzi, e altri. La Polizia Locale con i suoi agenti presenti sul territorio e attraverso gli agenti di quartiere cerca di evitare e controllare chi disturba la quiete pubblica, chi litiga e in generale tutto ciò che rende meno serena la vita dei cittadini.",,"Ripetere sempre il soggetto e quindi riferire tutto alla Polizia | mantenere negli elenchi lo stesso punto di vista (controlla lo spaccio e l'occupazione non lo spaccio e gli edifici) | umanizzare sempre gli enti (agenti, persone) | evitare verbi colti | rendere colloquiale l'espressione",2024-03-12T08:24:04.453751,489.0
aae5c6f0c213946d265cb98c08106c0b,10,"Cittadini residenti e non residenti che usufruiscono dei servizi della Polizia Locale, con le modalità illustrate al punto precedente.",La Polizia locale si occupa di cittadini residenti e non residenti in tutti i modi che abbiamo descritto prima.,Non chiaro come questo paragrafo si collega al precedente,Eliminare perifrasi e rendere colloquiale,2024-03-12T08:25:31.745123,86.0
